imb_id,rearing_year,host_plant,collection_date,collection_stage,hatch_date,date_instar_2,date_instar_3,date_instar_4,date_instar_5,pupation_date,stage_at_death,release_year,eclosure_date,release_date,sex
15BR001,2015,BRRA,2015-05-20,second,NA,NA,2015-05-24,2015-05-29,2015-06-03,2015-06-10,NA,2016,2016-05-08,2016-05-08,NA
15BR002,2015,BRRA,2015-05-20,second,NA,NA,2015-05-23,2015-05-28,2015-06-01,2015-06-08,NA,2016,2016-05-17,2016-05-17,NA
15BR003,2015,BRRA,2015-05-20,second,NA,NA,2015-05-23,2015-05-27,2015-05-30,2015-06-08,NA,2016,2016-04-25,2016-04-25,NA
15BR004,2015,BRRA,2015-05-20,second,NA,NA,2015-05-23,2015-05-28,2015-06-01,2015-06-08,NA,2016,2016-04-21,2016-04-21,NA
15BR005,2015,BRRA,2015-05-20,second,NA,NA,2015-05-23,2015-05-28,2015-06-01,2015-06-08,NA,2016,2016-04-30,2016-04-30,NA
15BR006,2015,BRRA,2015-05-27,first,NA,2015-05-30,NA,NA,NA,NA,second,NA,NA,NA,NA
15BR019,2015,BRRA,2015-06-09,second,NA,NA,2015-06-14,2015-06-17,2015-06-21,2015-06-26,NA,2016,2016-04-29,2016-04-29,NA
15BR020,2015,BRRA,2015-06-09,second,NA,NA,2015-06-14,2015-06-17,2015-06-21,2015-06-28,NA,2016,2016-05-31,2016-06-01,NA
15BR021,2015,BRRA,2015-06-09,second,NA,NA,2015-06-11,2015-06-15,2015-06-20,2015-06-27,NA,2016,2016-05-11,2016-05-11,NA
15BR022,2015,BRRA,2015-06-09,first,NA,2015-06-14,2015-06-17,2015-06-21,2015-06-24,2015-06-30,NA,2016,2016-04-27,2016-04-27,NA
15BR023,2015,BRRA,2015-06-09,first,NA,2015-06-15,2015-06-17,2015-06-20,2015-06-24,2015-06-30,NA,2016,2016-05-11,2016-05-11,NA
15BR029,2015,BRRA,2015-06-13,first,NA,2015-06-16,2015-06-17,2015-06-21,2015-06-26,2015-06-30,NA,2016,2016-05-12,2016-05-12,NA
15BR030,2015,BRRA,2015-06-13,second,NA,NA,2015-06-17,2015-06-21,2015-06-25,2015-06-29,NA,2016,2016-06-03,2016-06-03,NA
15BR031,2015,BRRA,2015-06-17,first,NA,2015-06-20,2015-06-24,2015-06-29,2015-06-30,2015-07-06,NA,2016,2016-05-06,2016-05-06,NA
15BR034,2015,BRRA,2015-06-17,first,NA,2015-06-21,2015-06-24,2015-06-29,2015-07-03,2015-07-06,NA,2016,2016-06-02,2016-06-03,NA
15BR035,2015,BRRA,2015-06-17,first,NA,2015-06-20,2015-06-23,2015-06-28,2015-06-29,2015-07-04,NA,2016,2016-05-10,2016-05-11,NA
15BR040,2015,BRRA,2015-06-17,first,NA,2015-06-21,2015-06-24,2015-06-30,2015-07-03,2015-07-06,NA,2016,2016-05-09,2016-05-09,NA
15BR041,2015,BRRA,2015-06-17,first,NA,2015-06-21,2015-06-24,2015-06-27,2015-06-29,2015-07-06,NA,2016,2016-05-25,2016-05-25,NA
15BR043,2015,BRRA,2015-06-17,first,NA,2015-06-22,2015-06-26,2015-07-01,2015-07-04,2015-07-09,NA,2016,2016-04-27,2016-04-27,NA
15BR047,2015,BRRA,2015-06-17,first,NA,2015-06-21,2015-06-23,2015-06-29,2015-06-30,2015-07-07,NA,2016,2016-05-02,2016-05-03,NA
15BR048,2015,BRRA,2015-06-17,first,NA,2015-06-19,2015-06-23,2015-06-30,2015-07-03,2015-07-06,NA,2016,2016-05-14,2016-05-14,NA
15BR051,2015,BRRA,2015-06-17,first,NA,2015-06-19,2015-06-22,2015-06-24,2015-06-29,2015-07-04,NA,2016,2016-05-15,2016-05-16,NA
15BR053,2015,BRRA,2015-06-17,second,NA,NA,2015-06-26,2015-06-29,2015-07-04,2015-07-08,NA,2016,2016-05-13,2016-05-13,NA
15BR054,2015,BRRA,2015-06-17,second,NA,NA,2015-06-26,2015-06-29,2015-07-05,2015-07-08,NA,2016,2016-05-03,2016-05-03,NA
15BR056,2015,BRRA,2015-06-17,first,NA,NA,NA,NA,NA,NA,first,NA,NA,NA,NA
15BR057,2015,BRRA,2015-06-17,first,NA,2015-06-25,2015-06-29,2015-07-03,2015-07-06,2015-07-09,NA,2016,2016-05-08,2016-05-08,NA
15BR058,2015,BRRA,2015-06-25,third,NA,NA,NA,2015-06-29,2015-07-01,2015-07-06,NA,2016,2016-05-09,2016-05-10,NA
15BR059,2015,BRRA,2015-06-25,first,NA,2015-06-26,2015-06-28,2015-07-04,2015-07-07,2015-07-10,NA,2016,2016-05-13,2016-05-13,NA
