,date,min,max,avg,range
210,2015-07-10,68,72,71.04166667,4
211,2015-07-11,66,73,69.6875,7
212,2015-07-12,67,76,71.0625,9
213,2015-07-13,67,74,70.08333333,7
214,2015-07-14,66,75,70.6875,9
215,2015-07-15,66,75,70.29166667,9
216,2015-07-16,66,74,70.20833333,8
217,2015-07-17,66,74,70.625,8
218,2015-07-18,67,77,72.14583333,10
219,2015-07-19,68,80,73.20833333,12
220,2015-07-20,67,75,71.04166667,8
221,2015-07-21,66,75,70.39583333,9
222,2015-07-22,66,74,69.77083333,8
223,2015-07-23,66,74,70.27083333,8
224,2015-07-24,66,74,69.83333333,8
225,2015-07-25,66,74,69.83333333,8
226,2015-07-26,66,73,69.33333333,7
227,2015-07-27,66,74,69.83333333,8
228,2015-07-28,66,75,70.27083333,9
229,2015-07-29,66,75,71.1875,9
230,2015-07-30,67,78,72,11
231,2015-07-31,67,74,71.52083333,7
232,2015-08-01,66,75,70.8125,9
233,2015-08-02,66,74,70.79166667,8
234,2015-08-03,66,74,70.22916667,8
235,2015-08-04,66,73,70.10416667,7
236,2015-08-05,66,74,69.0625,8
237,2015-08-06,66,75,69.89583333,9
238,2015-08-07,66,75,70.3125,9
239,2015-08-08,66,75,70.5,9
240,2015-08-09,67,75,71.27083333,8
241,2015-08-10,67,74,70.77083333,7
242,2015-08-11,66,74,71.20833333,8
243,2015-08-12,67,74,70.875,7
244,2015-08-13,66,72,69.79166667,6
245,2015-08-14,66,73,69.08333333,7
246,2015-08-15,66,73,68.875,7
247,2015-08-16,66,72,69.1875,6
248,2015-08-17,66,72,69.6875,6
249,2015-08-18,66,75,70.75,9
250,2015-08-19,67,75,71.25,8
251,2015-08-20,66,73,70.04166667,7
252,2015-08-21,66,73,69.77083333,7
253,2015-08-22,66,72,69.75,6
254,2015-08-23,66,73,69.95833333,7
255,2015-08-24,66,72,69.20833333,6
256,2015-08-25,66,72,69.33333333,6
257,2015-08-26,66,72,69.58333333,6
258,2015-08-27,66,73,69.89583333,7
259,2015-08-28,67,73,70.02083333,6
260,2015-08-29,67,73,69.77083333,6
261,2015-08-30,66,73,69.5,7
262,2015-08-31,66,72,69.1875,6
263,2015-09-01,66,73,68.95833333,7
264,2015-09-02,66,72,68.375,6
265,2015-09-03,65,72,68.10416667,7
266,2015-09-04,65,72,68.29166667,7
267,2015-09-05,65,72,68.25,7
268,2015-09-06,66,72,68.375,6
269,2015-09-07,66,72,68.5625,6
270,2015-09-08,66,72,69.04166667,6
271,2015-09-09,66,72,69.4375,6
272,2015-09-10,66,74,69.91666667,8
273,2015-09-11,67,75,70.8125,8
274,2015-09-12,67,73,70.5,6
275,2015-09-13,66,72,69.25,6
276,2015-09-14,66,72,68.35416667,6
277,2015-09-15,65,72,68.33333333,7
278,2015-09-16,65,72,68.70833333,7
279,2015-09-17,66,72,69.25,6
280,2015-09-18,66,72,68.64583333,6
281,2015-09-19,66,71,68.58333333,5
282,2015-09-20,66,72,68.85416667,6
283,2015-09-21,62,73,68.52083333,11
284,2015-09-22,51,73,63.39583333,22
285,2015-09-23,53,74,63.95833333,21
286,2015-09-24,55,74,64.45833333,19
287,2015-09-25,56,72,64,16
288,2015-09-26,51,72,62.47916667,21
289,2015-09-27,49,72,61.45833333,23
290,2015-09-28,52,75,64.0625,23
291,2015-09-29,53,75,65.41666667,22
292,2015-09-30,52,76,64.60416667,24
293,2015-10-01,52,77,64.70833333,25
