IMB ID,REARING YEAR,HOST PLANT,COLLECTION SITE,COLLECTION AREA,COLLECTION DATE,COLLECTION STAGE,HATCH DATE,Date of 2nd instar,Date 3rd instar,Date 4th instar,Date fifth instar,PUPATION DATE,LARVAL DAYS,SURVIVE TO PUPATION,STAGE AT DEATH,REARING NOTES,RELEASE YEAR,ECLOSURE DATE,RELEASE DATE,RELEASE SITE,RELEASE AREA,SEX,LAT.,LONG.,RELEASE NOTES
14BR030,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,6/16/2014,6/20/2014,6/27/2014,7/1/2014,7/6/2014,7/11/2014,25,Y,,,,,,,,,,,
14BR031,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,6/16/2014,6/20/2014,6/30/2014,7/1/2014,7/6/2014,7/11/2014,25,Y,,,,,,,,,,,
14BR031a,2014,BRRA,,,,,,,,,,,0,NA,,,2015,6/1/2015,6/2/2015,Upper Redoubt,Redoubt,,,,
14BR031b,2014,BRRA,,,,,,,,,,,0,NA,,,2015,6/22/2015,6/22/2015,Upper Redoubt,Redoubt,,,,
14BR032,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,NA,NA,NA,NA,NA,NA,#VALUE!,N,Egg,,,,,,,,,,
14BR033,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,NA,NA,NA,NA,NA,NA,#VALUE!,N,,,,,,,,,,,
14BR034,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,First,NA,6/16/2014,6/24/2014,6/29/2014,7/2/2014,7/9/2014,#VALUE!,Y,,,2015,6/27/2015,6/28/2015,Upper Redoubt,Redoubt,,,,
14BR035,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,6/11/2014,6/13/2014,6/22/2014,6/27/2014,7/2/2014,7/8/2014,27,Y,,,2015,5/29/2015,5/30/2015,Upper Redoubt,Redoubt,,,,
14BR036,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,6/11/2014,6/13/2014,6/22/2014,6/26/2014,7/1/2014,7/7/2014,26,Y,,,2015,6/1/2015,6/2/2015,Dunes,Dunes,,,,
14BR037,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,6/11/2014,6/16/2014,6/25/2014,6/29/2014,7/2/2014,7/9/2014,28,Y,,,2015,6/5/2015,6/5/2015,Lambert #5,Lambert #5,,,,
14BR038,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,6/11/2014,6/13/2014,6/24/2014,6/29/2014,7/3/2014,7/10/2014,29,Y,,,2015,6/22/2015,6/22/2015,Upper Redoubt,Redoubt,,,,
14BR039,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,NA,NA,NA,NA,NA,NA,#VALUE!,N,Egg,,,,,,,,,,
14BR040,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,6/11/2014,6/16/2014,6/25/2014,6/28/2014,7/2/2014,7/10/2014,29,Y,,,2015,6/8/2015,6/8/2015,Lambert #5,Lambert #5,,,,
14BR041,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,NA,NA,NA,NA,NA,NA,#VALUE!,N,Egg,,,,,,,,,,
14BR042,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,NA,NA,NA,NA,NA,NA,#VALUE!,N,Egg,,,,,,,,,,
14BR043,2014,BRRA,Lambert #5,Lambert #55,6/9/2014,Egg,6/11/2014,6/13/2014,6/23/2014,6/27/2014,7/1/2014,7/7/2014,26,Y,,,2015,6/8/2015,6/9/2015,Upper Redoubt,Redoubt,,,,
14BR044,2014,BRRA,Redoubt,Redoubt,6/17/2014,Egg,6/20/2014,6/23/2014,7/2/2014,7/7/2014,7/11/2014,7/18/2014,28,Y,,,2015,6/9/2015,6/9/2015,Upper Redoubt,Redoubt,,,,
14BR045,2014,BRRA,Redoubt,Redoubt,6/18/2014,Fourth,NA,NA,NA,NA,6/21/2014,6/29/2014,#VALUE!,Y,,,2015,6/25/2015,6/25/2015,Upper Redoubt,Redoubt,,,,
14BR046,2014,BRRA,Redoubt,Redoubt,6/18/2014,Fourth,NA,NA,NA,NA,6/22/2014,6/30/2014,#VALUE!,Y,,,2015,6/5/2015,6/5/2015,Lambert #5,Lambert #5,,,,
14SI001a,2014,SIAL,Dunes,Upper Dunes,6/5/2014,Fifth,NA,NA,NA,NA,NA,6/9/2014,#VALUE!,Y,,,2015,6/22/2015,6/22/2015,Upper Redoubt,Redoubt,,,,
14SI001b,2014,SIAL,Dunes,Dunes,6/2/2014,Fourth,NA,NA,NA,NA,6/5/2014,6/8/2014,#VALUE!,Y,,,2015,6/6/2015,6/6/2015,Upper Redoubt,Redoubt,,,,
14SI002,2014,SIAL,Dunes,Dunes,6/2/2014,Third,NA,NA,NA,6/4/2014,6/6/2014,6/9/2014,#VALUE!,Y,,,2015,5/14/2015,5/14/2015,Dunes,Dunes,,,,
14SI003,2014,SIAL,Dunes,Dunes,6/2/2014,Fourth,NA,NA,NA,NA,6/5/2014,6/7/2014,#VALUE!,Y,,,2015,6/23/2015,6/23/2015,Upper Redoubt,Redoubt,,,,
14SI004,2014,SIAL,Dunes,Dunes,6/2/2014,Third,NA,NA,NA,6/4/2014,6/6/2014,6/9/2014,#VALUE!,Y,,,2015,6/20/2015,6/20/2015,Upper Redoubt,Redoubt,,,,
14SI005,2014,SIAL,Dunes,Dunes,6/2/2014,Third,NA,NA,NA,6/4/2014,6/6/2014,6/9/2014,#VALUE!,Y,,,2015,7/4/2015,7/5/2015,Upper Redoubt,Redoubt,,,,
14SI006,2014,SIAL,Dunes,Dunes,6/2/2014,Third,NA,NA,NA,6/4/2014,6/6/2014,6/9/2014,#VALUE!,Y,,,2015,5/23/2015,5/24/2015,OT Lagoon,OldTownLagoon,,,,
14SI007,2014,SIAL,dunes,Dunes,6/3/2014,Second,NA,NA,6/5/2014,6/6/2014,6/10/2014,6/19/2014,#VALUE!,Y,,,2015,5/28/2015,5/28/2015,Upper Redoubt,Redoubt,,,,
14SI007b,2014,SIAL,Old Road Bed,Old Road Bed,6/3/2014,3rd,NA,NA,NA,6/4/2014,6/6/2014,6/9/2014,#VALUE!,Y,,,2015,5/19/2015,5/19/2015,Dunes,Dunes,,,,
14SI008,2014,SIAL,Dunes,Dunes,6/3/2014,Second,NA,NA,6/4/2014,6/6/2014,6/8/2014,6/14/2014,#VALUE!,Y,,,2015,6/11/2015,6/11/2015,Upper Redoubt,Redoubt,,,,
14SI009,2014,SIAL,Dunes,Dunes,6/3/2014,Second,NA,NA,,,,,#VALUE!,N,Third,,,,,,,,,,
14SI010,2014,SIAL,Dunes,Dunes,6/4/2014,Fourth,NA,NA,NA,NA,6/6/2014,6/10/2014,#VALUE!,Y,,,2015,6/1/2015,6/2/2015,Upper Redoubt,Redoubt,,,,
14SI011,2014,SIAL,Dunes,Dunes,6/4/2014,Third,NA,NA,NA,6/6/2014,6/7/2014,6/12/2014,#VALUE!,Y,,,,,,,,,,,
14SI012,2014,SIAL,Dunes,Dunes,6/4/2014,Fifth,NA,NA,NA,NA,NA,6/8/2014,#VALUE!,Y,,,2015,6/30/2015,6/30/2015,Upper Redoubt,Redoubt,,,,
14SI013,2014,SIAL,Dunes,Dunes,6/4/2014,Fourth,NA,NA,NA,NA,6/6/2014,6/11/2014,#VALUE!,Y,,,2015,6/1/2015,6/2/2015,Dunes,Dunes,,,,
14SI014,2014,SIAL,Dunes,Dunes,6/4/2014,Second,NA,NA,6/6/2014,6/9/2014,6/11/2014,6/23/2014,#VALUE!,Y,,,2015,5/25/2015,5/25/2015,Dunes,Dunes,,,,
14SI015,2014,SIAL,Dunes,Dunes,6/5/2014,Second,NA,NA,6/7/2014,6/10/2014,6/15/2014,6/24/2014,#VALUE!,Y,,,2015,6/25/2015,6/25/2015,Upper Redoubt,Redoubt,,,,
14SI016,2014,SIAL,Dunes,Dunes,6/5/2014,Egg,6/9/2014,6/13/2014,6/22/2014,6/26/2014,6/30/2014,7/5/2014,26,Y,,,2015,5/30/2015,5/30/2015,Upper Redoubt,Redoubt,,,,
14SI017,2014,SIAL,Dunes,Dunes,6/6/2014,Second,NA,NA,6/7/2014,6/10/2014,6/14/2014,6/22/2014,#VALUE!,Y,,,2015,6/1/2015,6/2/2015,Dunes,Dunes,,,,
14SI018,2014,SIAL,Dunes,Dunes,6/6/2014,Fifth,NA,NA,NA,NA,NA,6/13/2014,#VALUE!,Y,,,2015,5/30/2015,5/30/2015,Upper Redoubt,Redoubt,,,,
14SI019,2014,SIAL,Dunes,Dunes,6/6/2014,Fourth,NA,NA,NA,NA,6/7/2014,6/17/2014,#VALUE!,Y,,,2015,5/14/2015,5/14/2015,Dunes,Dunes,,,,
14SI020,2014,SIAL,Dunes,Dunes,6/6/2014,Third,NA,NA,NA,6/9/2014,6/13/2014,6/22/2014,#VALUE!,Y,,,2015,6/8/2015,6/8/2015,Lambert #5,Lambert #5,,,,
