imb_id,rearing_year,host_plant,collection_date,collection_stage,hatch_date,date_instar_2,date_instar_3,date_instar_4,date_instar_5,pupation_date,stage_at_death,release_year,eclosure_date,release_date,sex
16SI034,2016,SIAL,2016-05-17,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16SI050,2016,SIAL,2016-05-25,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16SI060,2016,SIAL,2016-06-01,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
16SI062,2016,SIAL,2016-06-07,egg,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA
16SI063,2016,SIAL,2016-06-07,egg,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA
17BR000,2017,BRRA,2017-05-22,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR008,2017,BRRA,2017-05-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR017,2017,BRRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17BR020,2017,BRRA,2017-05-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR022,2017,BRRA,2017-05-09,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR054,2017,BRRA,2017-05-22,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR064,2017,BRRA,2017-05-27,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR069,2017,BRRA,2017-05-27,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR071,2017,BRRA,2017-05-27,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR072,2017,BRRA,2017-05-27,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR077,2017,BRRA,2017-05-27,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR102,2017,BRRA,2017-06-19,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17BR103,2017,BRRA,2017-06-24,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17LE002,2017,LEVI,2017-05-26,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17LE009,2017,LEVI,2017-06-02,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17SI004,2017,SIAL,2017-05-05,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17SI012,2017,SIAL,2017-05-10,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
17SI018,2017,SIAL,2017-05-15,egg,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA
17SI037,2017,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17SI038,2017,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17SI039,2017,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17SI051,2017,SIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17SI076,2017,SIAL,2017-06-23,egg,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA
18AR001,2018,ARGL,2018-06-04,egg,NA,NA,NA,NA,NA,2018-07-07,NA,2019,2019-05-19,2019-05-19,NA
