imb_id,rearing_year,host_plant,collection_stage,mispupation,sex,stage,duration,start,end,mean_temp,stage2,after_2018,after_june
14SI016,2014,SIAL,egg,N,NA,third,4,13,17,15.743975716927105,fourth,FALSE,TRUE
14SI016,2014,SIAL,egg,N,NA,fourth,4,17,21,15.900988527890728,fifth,FALSE,TRUE
14SI016,2014,SIAL,egg,N,NA,fifth,5,21,26,16.244169664701086,pupa,FALSE,TRUE
14SI016,2014,SIAL,egg,N,NA,pupa,329,26,355,12.703257788971307,adult,FALSE,TRUE
14SI022,2014,SIAL,egg,N,NA,first,4,0,4,16.20928095238095,second,FALSE,TRUE
14SI022,2014,SIAL,egg,N,NA,second,6,4,10,15.54251111346566,third,FALSE,TRUE
14SI022,2014,SIAL,egg,N,NA,third,9,10,19,15.765539256345507,fourth,FALSE,TRUE
14SI022,2014,SIAL,egg,N,NA,fourth,1,19,20,15.774058551016884,fifth,FALSE,TRUE
14SI022,2014,SIAL,egg,N,NA,fifth,6,20,26,16.203626454824544,pupa,FALSE,TRUE
14SI022,2014,SIAL,egg,N,NA,pupa,348,26,374,12.881245340672333,adult,FALSE,TRUE
14SI023,2014,SIAL,egg,N,NA,first,4,0,4,16.012233333333334,second,FALSE,TRUE
14SI023,2014,SIAL,egg,N,NA,second,6,4,10,15.537586871041416,third,FALSE,TRUE
14SI023,2014,SIAL,egg,N,NA,third,5,10,15,15.56409854959855,fourth,FALSE,TRUE
14SI023,2014,SIAL,egg,N,NA,fourth,8,15,23,15.923697817233167,fifth,FALSE,TRUE
14SI023,2014,SIAL,egg,N,NA,fifth,4,23,27,16.238615986199857,pupa,FALSE,TRUE
14SI023,2014,SIAL,egg,N,NA,pupa,318,27,345,12.664441652278818,adult,FALSE,TRUE
15BR006,2015,BRRA,first,N,NA,first,4,0,4,14.783170077049387,death,FALSE,FALSE
15BR007,2015,BRRA,egg,N,NA,first,5,0,5,14.957769936002695,second,FALSE,FALSE
15BR007,2015,BRRA,egg,N,NA,second,5,5,10,16.001965419637834,third,FALSE,FALSE
15BR007,2015,BRRA,egg,N,NA,third,2,10,12,16.033668541891355,fourth,FALSE,FALSE
15BR007,2015,BRRA,egg,N,NA,fourth,5,12,17,16.22266018623777,fifth,FALSE,FALSE
15BR007,2015,BRRA,egg,N,NA,fifth,8,17,25,16.33210793958473,pupa,FALSE,FALSE
15BR007,2015,BRRA,egg,N,NA,pupa,323,25,348,12.885358860358789,adult,FALSE,FALSE
15BR008,2015,BRRA,egg,N,NA,first,3,0,3,14.979178113553115,second,FALSE,FALSE
15BR008,2015,BRRA,egg,N,NA,second,3,3,6,15.029874230859452,third,FALSE,FALSE
15BR008,2015,BRRA,egg,N,NA,third,4,6,10,15.898177540849955,fourth,FALSE,FALSE
15BR008,2015,BRRA,egg,N,NA,fourth,4,10,14,15.97362384741695,fifth,FALSE,FALSE
15BR008,2015,BRRA,egg,N,NA,fifth,7,14,21,16.17194924328545,pupa,FALSE,FALSE
15BR008,2015,BRRA,egg,N,NA,pupa,341,21,362,12.96173990082148,adult,FALSE,FALSE
15BR009,2015,BRRA,egg,N,NA,first,4,0,4,14.828170077049387,second,FALSE,FALSE
15BR009,2015,BRRA,egg,N,NA,second,2,4,6,15.029874230859452,third,FALSE,FALSE
15BR009,2015,BRRA,egg,N,NA,third,5,6,11,15.957009968001348,fourth,FALSE,FALSE
15BR009,2015,BRRA,egg,N,NA,fourth,5,11,16,16.048748040330192,fifth,FALSE,FALSE
15BR009,2015,BRRA,egg,N,NA,fifth,7,16,23,16.2177697123279,pupa,FALSE,FALSE
15BR009,2015,BRRA,egg,N,NA,pupa,322,23,345,12.876058392496182,adult,FALSE,FALSE
15BR010,2015,BRRA,egg,N,NA,first,3,0,3,14.669587596311734,second,FALSE,FALSE
15BR010,2015,BRRA,egg,N,NA,second,3,3,6,15.238207564192786,third,FALSE,FALSE
15BR010,2015,BRRA,egg,N,NA,third,4,6,10,16.001965419637834,fourth,FALSE,FALSE
15BR010,2015,BRRA,egg,N,NA,fourth,3,10,13,16.01013269366102,fifth,FALSE,FALSE
15BR010,2015,BRRA,egg,N,NA,fifth,7,13,20,16.20573254058476,pupa,FALSE,FALSE
15BR010,2015,BRRA,egg,N,NA,pupa,320,20,340,12.835389649473155,adult,FALSE,FALSE
15BR011,2015,BRRA,egg,N,NA,first,6,0,6,15.029874230859452,second,FALSE,FALSE
15BR011,2015,BRRA,egg,N,NA,second,1,6,7,15.266244118668688,third,FALSE,FALSE
15BR011,2015,BRRA,egg,N,NA,third,3,7,10,15.898177540849955,fourth,FALSE,FALSE
15BR011,2015,BRRA,egg,N,NA,fourth,5,10,15,15.944503126184161,fifth,FALSE,FALSE
15BR011,2015,BRRA,egg,N,NA,fifth,6,15,21,16.17194924328545,pupa,FALSE,FALSE
15BR011,2015,BRRA,egg,N,NA,pupa,332,21,353,12.923810803153954,adult,FALSE,FALSE
15BR012,2015,BRRA,egg,N,NA,first,5,0,5,14.957769936002695,second,FALSE,FALSE
15BR012,2015,BRRA,egg,N,NA,second,4,5,9,15.94174529493495,third,FALSE,FALSE
15BR012,2015,BRRA,egg,N,NA,third,1,9,10,16.001965419637834,fourth,FALSE,FALSE
15BR012,2015,BRRA,egg,N,NA,fourth,3,10,13,16.01013269366102,fifth,FALSE,FALSE
15BR012,2015,BRRA,egg,N,NA,fifth,11,13,24,16.30989225716812,pupa,FALSE,FALSE
15BR012,2015,BRRA,egg,N,NA,pupa,323,24,347,12.881018416470932,adult,FALSE,FALSE
15BR013,2015,BRRA,egg,N,NA,first,4,0,4,14.934771062271063,second,FALSE,FALSE
15BR013,2015,BRRA,egg,N,NA,second,4,4,8,15.209677311832484,third,FALSE,FALSE
15BR013,2015,BRRA,egg,N,NA,third,3,8,11,15.803091317207697,fourth,FALSE,FALSE
15BR013,2015,BRRA,egg,N,NA,fourth,4,11,15,15.89759378552482,fifth,FALSE,FALSE
15BR013,2015,BRRA,egg,N,NA,fifth,7,15,22,16.110435922148817,pupa,FALSE,FALSE
15BR013,2015,BRRA,egg,N,NA,pupa,325,22,347,12.881853118167703,adult,FALSE,FALSE
15BR014,2015,BRRA,egg,N,NA,first,4,0,4,14.783170077049387,second,FALSE,FALSE
15BR014,2015,BRRA,egg,N,NA,second,5,4,9,15.94174529493495,third,FALSE,FALSE
15BR014,2015,BRRA,egg,N,NA,third,2,9,11,16.02159330133468,fourth,FALSE,FALSE
15BR014,2015,BRRA,egg,N,NA,fourth,4,11,15,16.08538854285083,fifth,FALSE,FALSE
15BR014,2015,BRRA,egg,N,NA,fifth,7,15,22,16.250607525907377,pupa,FALSE,FALSE
15BR014,2015,BRRA,egg,N,NA,pupa,328,22,350,12.905788914335853,adult,FALSE,FALSE
15BR015,2015,BRRA,egg,N,NA,first,5,0,5,14.89639173087449,second,FALSE,FALSE
15BR015,2015,BRRA,egg,N,NA,second,3,5,8,15.513513290668463,third,FALSE,FALSE
15BR015,2015,BRRA,egg,N,NA,third,4,8,12,15.978586124308936,fourth,FALSE,FALSE
15BR015,2015,BRRA,egg,N,NA,fourth,4,12,16,16.048748040330192,fifth,FALSE,FALSE
15BR015,2015,BRRA,egg,N,NA,fifth,7,16,23,16.2177697123279,pupa,FALSE,FALSE
15BR015,2015,BRRA,egg,N,NA,pupa,319,23,342,12.845739661235216,adult,FALSE,FALSE
15BR016,2015,BRRA,egg,N,NA,first,4,0,4,14.783170077049387,second,FALSE,FALSE
15BR016,2015,BRRA,egg,N,NA,second,4,4,8,15.79267995733513,third,FALSE,FALSE
15BR016,2015,BRRA,egg,N,NA,third,4,8,12,16.033668541891355,fourth,FALSE,FALSE
15BR016,2015,BRRA,egg,N,NA,fourth,3,12,15,16.08538854285083,fifth,FALSE,FALSE
15BR016,2015,BRRA,egg,N,NA,fifth,9,15,24,16.30989225716812,pupa,FALSE,FALSE
15BR016,2015,BRRA,egg,N,NA,pupa,320,24,344,12.86856146030052,adult,FALSE,FALSE
15BR018,2015,BRRA,egg,N,NA,first,4,0,4,14.934771062271063,second,FALSE,FALSE
